 ************************************************************************************************************************
                         Exem


data

  number of boundary elements= 80

  number of functional nodes= 84

  number of internal source points where the funct. is calculated=144




  coordinates of the source points of the boundary elements

    point          x                  y
 fi=  1.722341373293798E-002
 fi= -6.618152614275169E-002
 fi= -7.717347496282452E-002
 fi= -2.808466800485868E-003
 fi=  4.362866620901033E-002
 fi=  8.399249952539280E-002
 fi=  3.184490012710649E-002
 fi= -5.604232925981140E-002
 fi= -8.578117987984739E-002
 fi= -2.499818069502454E-002
 fi=  6.235310328708238E-002
 fi=  8.377222039016921E-002
 fi=  1.649393361626684E-002
 fi= -6.814116070772412E-002
 fi= -8.011285453069518E-002
 fi= -6.239162339377672E-003
 fi=  4.593842258894313E-002
 fi=  8.776932931020412E-002
 fi=  3.373473004840601E-002
 fi= -5.351774831438701E-002
 fi= -8.276403479343303E-002
 fi= -2.242000684320222E-002
 fi=  6.359417294219188E-002
 fi=  8.369462879787984E-002
 fi=  1.553836745060212E-002
 fi= -6.973755606220668E-002
 fi= -8.280621393244737E-002
 fi= -1.019251847923038E-002
 ************************************************************************************************************************

 results

  boundary nodes

                x                       y                   potential          potential derivative

           0.1000000E-02           0.0000000E+00          -0.5345352E-03           0.0000000E+00
           0.5000000E-01           0.0000000E+00           0.5202729E-01           0.0000000E+00
           0.1000000E+00           0.0000000E+00           0.8393818E-01           0.0000000E+00
